Mixture,Fetal Mesenchymal Stem Cells,Fetal CD14+ Monocytes,Fetal CD8+ Activated T Cells,Fetal Naive CD4+ T Cells,Fetal Naive CD8+ T Cells,Fetal Natural Killer T Cells,Fetal B Cells,Fetal GZMK+ Natural Killer,Fetal Memory CD4+ T Cells,Fetal Hofbauer Cells,Fetal Plasmacytoid Dendritic Cells,Fetal GZMB+ Natural Killer,Fetal Endothelial Cells,Fetal Syncytiotrophoblast,Fetal Fibroblasts,Fetal Cytotrophoblasts,Fetal Proliferative Cytotrophoblasts,Fetal Nucleated Red Blood Cells,Maternal CD8+ Activated T Cells,Maternal Naive CD4+ T Cells,Maternal FCGR3A+ Monocytes,Maternal CD14+ Monocytes,Maternal Natural Killer Cells,Maternal B Cells,Maternal Plasma Cells,Maternal Naive CD8+ T Cells,Fetal Extravillous Trophoblasts,P-value,Correlation,RMSE
Mini-DP-163,0.0833077975029823,0.0408648124995616,0.0283820222556112,0.00915529765868528,0,0.0194046386788626,0.0590571905801069,0.000494491903488477,0.0903058586976385,0.0139955359478625,0.0568052270748918,0,0.066849615750243,0.0222243770496941,0,0.324827845611373,0,0.000444475428104606,0.0232661320553297,0,0,0.0115457536515697,0.0325318828022706,0,0.0108530672889402,0.0139869579963363,0.0916970195664477,0,0.679817245692547,0.87894892887819
Mini-DP-168,0.0713425265130909,0.0471564764351271,0.0528729689557299,0.000241605183374722,0,0.00926935345757586,0.0476376090334002,0,0.0864483720541896,0.00571267014229385,0.0483841646361344,0,0.0985371554993488,0.0411969229985646,0.00136449651083793,0.315095060896975,0,0.000693065381670833,0,0.00114201077047554,0,0.00244081159753313,0.0361985654484047,0,0.00680030411549228,0.0675628540987872,0.0599030062709931,0,0.851969824884591,0.780049003170062
Mini-DP-173,0.0633850602890751,0.0363511723523112,0.0411461332728458,0.0158599876246354,0,0.00331410568698261,0.0588587378304954,0.00235553627931273,0.106581285497365,0.00818412116925409,0.0614353712365032,0,0.0927548948610816,0.0164498029915822,0,0.312155182143204,0,0.00108985928652619,0.0158458708478616,0,0,0.0150052160925056,0.033751432020365,0.00112771900776611,0.00861324351451864,0.00107254648716507,0.104662721508643,0,0.690596857679338,0.888701919458504
Mini-DP-180,0.0741221053029225,0.0273361915025871,0.0448591175352629,0.038939930061722,0,0.0032555662549825,0.0592324966510852,0,0.0749825336209618,0.0269898528470195,0.0520761798425238,0,0.0711808285166174,0.0357337629283411,0.00192625141541966,0.338142146476968,0,0,0.0113497988615153,0,0,0.0202545963776435,0.0329665832374819,0.00384707353988526,0.0138075594748775,0.022513370020187,0.046484055531996,0,0.773535108030344,0.826856816865286
Mini-DP-181,0.0447023010132241,0.0821746842031029,0.00158167796006964,0.0388404411165175,0,0.0271058242824139,0.0396657397469985,0.00710621917008421,0.0337481794266283,0.0133041081668147,0.0702893704832754,0.00442666418564473,0.0365063059204768,0.0669082560518163,0.00227610081487149,0.271449873286939,0,0.00112032715078857,0,0,0,0,0.0507061946825443,0.000761530735949877,0.00586156330570341,0.0240579390383879,0.177406699257749,0,0.936701903914213,0.602718086709292
Mini-DP-185,0.0917832350346673,0.0302140418282972,0.0601643801963143,0.00120750716716379,0,0,0.0621805711114211,0,0.0863815199651839,0.0096352676122035,0.058271412991451,0,0.0930921148686356,0.0132511684409809,0.00400242826408853,0.380223623376005,0,0.000428633135955494,0.00694083888480173,0,0,0.00505482249201762,0.0321778160614303,0,0.011842452758561,0,0.0531481658108216,0,0.714512725284515,0.900877183520791
Mini-DP-109,0.143666964157449,0,0.0612932223978727,0,0,0,0.0508534322082006,0.019017274534549,0.0335269353690785,0.0405809831547239,0.0233226914344419,0,0.112342035792902,0,0.0604297604520885,0.25421118342569,0,0,0,0.0607698523312296,0,0.0471876678200875,0.0119312697793633,0.0226571440511261,0.00851236106644065,0.0126971432543748,0.0370000787703826,0,0.655664966000627,0.94720138247112
Mini-DP-115,0.106080188123364,0.0167872507175417,0.067678843980828,0,0,0,0.0460235136378624,0,0.0584511857354891,0.0215641319589109,0.0381226923843675,0,0.057844053772008,0.0304733615375122,0,0.330525888473058,0,0,0,0.0247111275564023,0,0.0366252807441279,0.0105486339159202,0.0284368729220239,0.0114472611289459,0.0122557480364326,0.102423965375205,0,0.783669711379005,0.825673794833372
Mini-DP-123,0.0935834132974475,0.0449233846153304,0.0398739306031815,0.0180303134377141,0,0.015820902076757,0.0289858638411575,0.00100324134660209,0.0572124141242375,0.0171134891788935,0.0494435958421763,0,0.0292312078154132,0.0452702715914819,0.013764053502447,0.341075451418773,0,0,0.00431190221837584,0,0,0.0153381989609674,0.0296398427999188,0.0154074482254374,0.00194345557886313,0.0580291155153908,0.079998504009434,0,0.882983359340895,0.745982033741473
Mini-DP-140,0.100753325724502,0.0463533894550615,0.0771956914055112,0,0,0,0.0567585946712015,0,0.0697404835279474,0.00152672286025636,0.0464453388645391,0,0.0906078325917906,0.00670139909872541,0.0111025794893779,0.348991700518445,0,0,0.0338666805666981,0,0,0.00106788431203167,0.000317796755179837,0,0.0104675282240157,0,0.0981030519347174,0,0.661411392422814,0.915699700136001
Mini-DP-146,0.0954860766536767,0.039987787331224,0.0481204328076823,0,0,0.0208736054073869,0.0296804280939406,0,0.0813190612724571,0.0130965178003375,0.0544022754751547,0,0.0782332935018454,0.0185805819059723,0.00534619932280179,0.326626908635485,0,0.000702846656577611,0.00568921657428769,0.0120156062670026,0,0.00310582079651025,0.028603705329409,0.0122128610758418,0.00991090331358452,0.0318817261758463,0.084124145602976,0,0.750124606355312,0.875164113773891
Mini-DP-157,0.0723229491437255,0.0169659423995842,0.0733476837152649,0.00443569247845706,0,0,0.0668098974373135,0.00143762929370746,0.0792203208768363,0.00133741686460747,0.0579053751662257,0,0.0638344914800388,0.00338143980129629,0,0.265830865612772,0,0,0.00382795510042237,0,0,0.0271146585422824,0.011445425142176,0.0144725146760904,0.00195249105006208,0.00923199470865929,0.225125256510478,0,0.745293385082775,0.877967460198296
Mini-DP-158,0.0767546889293379,0.0449107905126974,0.0638436733804817,0,0,0.00355383851440824,0.0478392041006171,0,0.0872300465015857,0.0102579855150998,0.0465171728652509,0,0.0703918546878581,0.0290879343512446,0.000704747448422125,0.39733383682314,0,0.000210853127073624,0,0,0,0,0.0152705352866995,0,0.00631967363283804,0.0476227548439004,0.0521504094793447,0,0.814148651308308,0.831916093305799
Mini-DP-159,0.0980385364382484,0.00419326418868656,0.0728301270712564,0.0333114723935712,0,0.00388431367835974,0.0605049788676961,0,0.0300320154547256,0,0.0926178071470687,0,0.0725893235819953,0,0.00762052475025094,0.310848977361928,0,0,0.0272244577126845,0.00452030240624641,0,0.0317897249800309,0,0,0.00633642474974322,0,0.143657749217508,0,0.566635040349637,0.933685957374168
Mini-DP-189,0.229067781605431,0.0102431501827506,0.0886462281876229,0,0,0,0.0439518166220399,0,0.0708459851128975,0.0971033542376352,0,0,0.130126097179389,0,0.035290881811572,0.151215576406112,0,0,0.000717881735272024,0.043998071536952,0,0,0,0.0483253959779034,0.000958996551318882,0.0495087828531039,0,0,0.509478946440703,0.967805998868001
Mini-DP-194,0.0682244817958698,0.0507850809213919,0.032843345551757,0.00138423558984875,0,0.0244365909452527,0.0620424942963701,0.00426362199057295,0.0922934437407313,0.0171552798005679,0.0525429133997712,0,0.0412034770117789,0.0415308133873401,0.000377549077384451,0.303564180891458,0,0,0.0236992683942955,0,0,0,0.0201610262372554,0,0.0168391128689323,0.0514153742484515,0.09523770985097,0,0.79439239791794,0.791588296544382
Mini-DP-199,0.107491265596609,0.0164432304398547,0.0684795017479715,0,0,0,0.0366864114193959,0,0.0975289035103079,0.00589169418046203,0.0533369037005363,0,0.0473009162244487,0.0231674462009729,0.000239298545520351,0.439789301590477,0,0,0.00509123770966258,0,0,0.010772654212074,0,0,0.00711034773836695,0.0550988708685988,0.0255720163147416,0,0.771232917411272,0.865178273132134
