Analyte	N	Model Family	Link Function	Extreme Outliers	K-S Statistic	K-S p-value	Converged	Intercept	C(LaborInitiation)[T.1]	C(Smoker)[T.1.0]	C(IllicitDrugUser)[T.1.0]	WksGest	PregravidBMISquared	Intercept_p	C(LaborInitiation)[T.1]_p	C(Smoker)[T.1.0]_p	C(IllicitDrugUser)[T.1.0]_p	WksGest_p	PregravidBMISquared_p	Pseudo_R_Squared	pval_adj
HTRA4	160	Gamma	Log	False	0.93125	1.8403867401765456e-186	True	16.58761715296698	-0.4261402062797491	0.04155885444771612	-0.40585060449325056	-0.22434662273963601	-0.000483965839102368	4.237539674654448e-53	0.022803676288098294	0.9098236110207139	0.24977283265138173	7.220522535351827e-16	0.05700960023107021	0.09919401094378588	7.854484413955718e-12
SELE (protein)	160	Gamma	Log	False	0.989607144298507	9.51949e-318	True	0.16220363174239688	0.03421420251368185	0.008161402648192817	0.008140983512708408	0.03392865166616752	4.230974235674426e-05	0.33337904262246754	0.23843432130238118	0.885934706886215	0.8816397860396792	3.603840579345792e-15	0.2832289699308096	0.010246238534583507	1.960128891106176e-11
IL2-RA (protein)	160	Gamma	Log	False	0.6846398800715425	4.542063720873053e-75	True	-4.040373056276849	0.019761786600325182	0.07795061243390403	0.1458001589082915	0.1141505473779483	0.0001066217671392347	1.093488784637408e-11	0.8477543151144887	0.6992764612246694	0.4521579885446	8.426737900118271e-14	0.4457935949627193	0.040605735290317524	3.0555351625828847e-10
MFGE8 (protein)	160	Gamma	Log	False	0.9937499999528945	0.0	True	1.4984003255276828	-0.014441956258744879	0.05120065162384968	-0.01426593670112121	0.017163859428112247	7.969490071568543e-06	5.344481764844156e-57	0.37560374975765676	0.10907784419767536	0.6422497971025913	1.3711496694095502e-12	0.7189266698964338	0.20244502916425955	3.728841525959272e-09
ADAMTS3	160	Gamma	Log	False	0.93125	1.8403867401765456e-186	True	2.156924277349116	0.08019237856139061	-0.3937077905110392	0.276132871359699	0.09696871271210028	0.00019044430083052337	5.5425698392077804e-05	0.3864845868539407	0.030095388650260187	0.11346783916964183	1.8195498099372096e-12	0.13006526296724327	0.01772875033582122	3.9586125664993935e-09
androstenediol (3beta,17beta) disulfate (2)	160	Gamma	Log	False	0.5165840591747508	3.35690577602578e-40	True	-4.657983781237816	-0.057135773110083006	-0.6312260889683077	0.5241219269880358	0.12791088400950495	-6.369860912216991e-05	8.734361624608741e-11	0.6456824887755543	0.009567981416574667	0.02518064241176253	4.290574014625143e-12	0.7059522595260966	0.15041720339694264	7.778810688515384e-09
PRELP (protein)	160	Gamma	Log	False	0.9937499999999992	0.0	True	1.7512637393242643	0.004717301368771368	-0.02654784617160555	0.030797376412282952	0.013807695712654465	2.503907511183582e-05	6.687929193643205e-109	0.7300651682972199	0.3219171682067642	0.231831970232381	1.0680196433788796e-11	0.17763225404542748	0.1427077248691092	1.6286238256559167e-08
BIN2	160	Gamma	Log	False	0.93125	1.8403867401765456e-186	True	9.68519398991958	-0.16641581596860483	0.06485738179292988	-0.019772680167315648	-0.099530044876062	-0.0002853156165705797	1.4157201671906934e-64	0.09207996039364971	0.7377065352091227	0.915396238463619	1.1977376912343569e-11	0.03351591773230345	0.02470629127395485	1.6286238256559167e-08
IGHG4	160	Gamma	Log	False	0.9062497133484281	6.7318607460927415e-165	True	-0.5331259427408206	0.1617135995493753	-0.12105766061680612	-0.403646051166619	0.1360598712582052	0.00020634132611138456	0.49658726622275706	0.2334488667494682	0.6491104320961936	0.11442692062128754	1.5096570072574228e-11	0.26310173810513904	0.031815539306521035	1.824672102771805e-08
estriol	160	Gamma	Log	False	0.5867841277519852	6.084677829107404e-53	True	-3.6993929912684953	-0.04233547498070803	-0.3440698832604453	0.1205021156838588	0.10434722689194662	-5.170666177461042e-05	9.12160414697413e-10	0.685533197630505	0.09320671340253325	0.5406965271948527	1.8554011972484127e-11	0.7158343045178712	0.05522851285720942	2.018305422366823e-08
X-24545	160	Gamma	Log	False	0.5774223671539561	4.160463414078268e-51	True	-3.9125566876258397	-0.11215540453100072	-0.04110430385741502	-0.07941163281284516	0.11868570402236682	-0.0004185331270098938	1.5170763169230444e-08	0.3485730562525805	0.8608901902198481	0.7246284299319007	2.4576137335960127e-11	0.010030445771156336	0.08947700501030664	2.4303565630961295e-08
TXK	160	Gamma	Log	False	0.93125	1.8403867401765456e-186	True	2.563941558457291	0.14553145279844226	-0.21277087188892563	0.24151485692149105	0.09608269724691366	0.00034465968004075324	7.192806836219222e-06	0.14107204659173872	0.27235129848634365	0.19482026981009692	6.160723100770577e-11	0.01029624672684856	0.01688494348282843	5.584695490848528e-08
AFP (protein)	160	Gamma	Log	False	0.9998486743252525	0.0	True	2.7573909975404844	0.026512070840499183	-0.10294669579604482	0.07251434022728445	-0.021283865124045266	2.37853096048718e-05	2.233720433853607e-103	0.23038079834086356	0.017516846493752458	0.08164504958125285	9.161960834735966e-11	0.4283397764625958	0.2161317504549305	7.666446920019834e-08
HUNK	160	Gamma	Log	True	0.93125	1.8403867401765456e-186	True	8.476988275502144	-0.1607673370056073	0.20538604531876548	0.01726626159426424	-0.09194766284354924	-6.074348974483398e-05	1.4319309607885657e-51	0.18812519663056348	0.37984538149833735	0.9378344400759909	1.7519674070602084e-10	0.7329762873281819	0.01905654440785498	1.3612786752857819e-07
N1-Methyl-2-pyridone-5-carboxamide	160	Gamma	Log	False	0.6091576033522612	1.642701062208744e-57	True	3.8375460228197174	-0.07474270528609968	-0.2903883771180866	0.21127588449771173	-0.09163906807575375	-0.000269085529788298	1.4833975010847368e-11	0.4475327540906979	0.13224952032260728	0.2544602028179084	3.672852670029343e-10	0.04413959975806679	0.13972098815047895	2.6635527563052796e-07
hsa-miR-210-3p	160	Gamma	Log	False	0.93125	1.8403867401765456e-186	True	11.541500730962214	-0.16056455697449284	-0.020574239574308928	0.03007343284413866	-0.10676231746628816	-0.0003009594177521286	1.8283005442473098e-67	0.1630336733821105	0.9273508238599854	0.8897049460875217	4.310749665414777e-10	0.05428109382083735	0.02769750366653878	2.9307709287738713e-07
