Analyte	N	Model Family	Link Function	Extreme Outliers	K-S Statistic	K-S p-value	Converged	Intercept	C(LaborInitiation)[T.1]	C(Smoker)[T.1.0]	C(IllicitDrugUser)[T.1.0]	WksGest	PregravidBMISquared	Intercept_p	C(LaborInitiation)[T.1]_p	C(Smoker)[T.1.0]_p	C(IllicitDrugUser)[T.1.0]_p	WksGest_p	PregravidBMISquared_p	Pseudo_R_Squared	pval_adj
androstenediol (3beta,17beta) disulfate (2)	161	Gamma	Log	False	0.537091947668574	5.871770283434563e-44	True	-5.522164213663807	0.21762669167277912	0.2907782791433223	-0.14161600634996965	0.15130755544019298	-0.00014320769645386695	4.636024214467907e-21	0.03315223570899381	0.1193993356793879	0.45261158716570493	5.511267852853597e-23	0.23022323107945308	0.16256764941859836	6.12026295059392e-19
X-24545	161	Gamma	Log	False	0.5614788538213953	2.2238980144865378e-48	True	-4.63111633075088	0.09778311336209858	0.05350168432084648	0.14414539656432773	0.13140247495943835	-0.00028534334150094685	5.918682148535473e-16	0.3267971478134907	0.769100778370586	0.43350810031183706	1.5897183247109165e-18	0.01432041019468284	0.1820260597277844	8.826910997957364e-15
estriol	161	Gamma	Log	False	0.5436906789437851	3.977008916328374e-45	True	-3.7658946873600776	0.13013065090478626	0.2322844109096851	-0.23376751707639765	0.09935947641183936	4.645174364623186e-05	3.6676159986538086e-16	0.10602685534857016	0.11443740773354046	0.11567453537318452	1.9384854176761084e-16	0.6214330107005057	0.12795318962365776	7.175626854431061e-13
pregnenediol disulfate (C21H34O8S2)*	161	Gamma	Log	False	0.5525941564014619	9.776682768318443e-47	True	-4.806865675941657	0.03215682971249136	0.4998846084962969	-0.15306792325627358	0.13346004120123228	7.130289321990652e-05	5.908156091414418e-14	0.7730568220159103	0.014176555435116948	0.45702876317404484	1.4934571334309321e-15	0.5841785655694854	0.1401880753491086	4.1462103666876254e-12
androstenediol (3beta,17beta) disulfate (1)	161	Gamma	Log	False	0.5043560415682402	1.9196830399966728e-38	True	-6.408645195361466	0.2951913596042172	0.2876758541285539	0.08417923326023766	0.17808467437903713	-0.00018232680051112762	5.191033248901639e-13	0.05626942023397454	0.30874486263649525	0.7680332816544443	1.640062784654624e-14	0.3128965115492144	0.15639082162385032	3.64257944471792e-11
testosterone sulfate	161	Gamma	Log	False	0.5157760148461099	2.585030185333248e-40	True	-6.5420722898109	0.18661709830254986	0.08882104458932645	0.1793335105192752	0.17817152002625392	-0.00020674456074883915	3.355925218863842e-13	0.23330985871606058	0.7562737717559214	0.5348806342189116	3.3306909234787466e-14	0.2584140527571339	0.08753310015383209	6.164553784205247e-11
dehydroepiandrosterone sulfate (DHEA-S)	161	Gamma	Log	False	0.5710740173119737	3.388937224857794e-50	True	-3.1325087478669458	0.07536843432186294	0.20667767812784216	-0.17257663206552187	0.08533318109542289	-0.00011359326130255298	4.0194308626866483e-13	0.31637985635212384	0.132771922727425	0.21385908814644194	3.9949823543243474e-14	0.19619526552241573	0.11068062901744491	6.337754149253125e-11
3-hydroxy-3-methylglutarate	161	Gamma	Log	False	0.699930631709913	1.3992399119176183e-79	True	2.359457100443981	-0.140353038477426	0.002534523009879483	-0.1045363707244093	-0.06149113668931535	1.2802512905882561e-05	1.548649663974251e-13	0.011707826511716729	0.9801295294689191	0.3090197266495487	1.8202423417817843e-13	0.8439793191439583	0.07693175998184121	2.5267239006858394e-10
AFP (protein)	161	Gamma	Log	False	0.9992884637078349	0.0	True	3.0029472366400767	0.014104237021787428	-0.07884387053871766	0.07201392143381757	-0.026843387445976266	-1.2366041628301809e-05	1.0364383506928582e-99	0.5677064144482986	0.08050801933364939	0.11391818036254718	4.198949533324772e-13	0.6680596002732889	0.23579250859916756	5.181037174174621e-10
X-21364	161	Gamma	Log	False	0.5633993282332065	9.70518327735283e-49	True	-3.9560926577101108	0.11939553669890554	0.31297756103309526	-0.21527998987132652	0.11135918535643945	-0.00013452930787923885	3.167865826794706e-11	0.2501404058153287	0.09906954118014365	0.26123040550213417	8.722035260936874e-13	0.2674084881559192	0.14137791618877782	9.685820157270398e-10
5alpha-pregnan-3beta,20alpha-diol disulfate	161	Gamma	Log	True	0.5632046663577011	1.0558104722491126e-48	True	-4.140550479453061	0.21804491193306474	0.05333990680827448	0.09817999297109772	0.11842542141491445	-2.8346928353500657e-05	5.80022942234638e-10	0.06783381265296332	0.8123926637711711	0.6622366871490266	5.0686518957539015e-12	0.8685983019526081	0.12982972131231896	5.117034482031552e-09
pregnanolone/allopregnanolone sulfate	161	Gamma	Log	False	0.5726578064250997	1.681951390220132e-50	True	-4.2699725049929205	0.24764562907959425	-0.04337613351351312	0.018537655738143616	0.1256740006483317	-0.00033357384674580437	1.571771863714719e-09	0.04446829778279138	0.8472794871736892	0.9350385635727175	1.0632836240887045e-11	0.020510411485353524	0.1718613562480752	9.839803871254219e-09
N-acetylputrescine	161	Gamma	Log	False	0.6113119847705248	2.5267165745835067e-58	True	2.8120287738590215	0.09263170137854436	0.021077260416644664	-0.08166657392494836	-0.07773810657009732	1.0813377034388187e-05	1.8458768633893126e-10	0.2281530346157603	0.8807394937650809	0.5648411043243975	1.5715522297388253e-11	0.9041595710537809	0.07281549741304483	1.3424682700961274e-08
N-acetylhistidine	161	Gamma	Log	True	0.6432822233881018	2.048547702848928e-65	True	2.940839816172759	-0.05448579597575133	9.070185255941055e-05	-0.047817399068455044	-0.07722801080715887	-3.0468979132394853e-05	5.500688202999874e-11	0.459069850268378	0.9993222068997302	0.6897189705593794	6.64463983052799e-11	0.7010645154257227	0.0975973707240625	5.270623237000952e-08
TNFRSF10C (protein)	161	Gamma	Log	False	0.9713900199885471	6.314751304323895e-249	True	0.38296194507659304	-0.006460952148143318	0.012577320645830233	-0.027831769041828297	0.022118450332584357	3.701578667357197e-05	0.0034193380309708926	0.7768139473375495	0.7627093264315011	0.5082150152048683	9.906240277699842e-11	0.1645197206997271	0.2173285439737137	7.33391988559045e-08
cystathionine	161	Gamma	Log	True	0.5949834593252216	6.347798584148392e-55	True	4.2904631421550485	0.021046441532331324	-0.3048972700986514	0.04117456466655044	-0.10969477810697995	-1.4247864931726577e-05	1.5323815656907715e-10	0.8551150918832797	0.048817232126092965	0.8241146536633792	2.681357785160965e-10	0.8834086525159848	0.16947450338532044	1.8610298877632824e-07
cortisone	161	Gamma	Log	False	0.5186868144040007	8.446468525118489e-41	True	-3.4255983861995336	0.05644240765272224	0.04437903855052881	-0.21743757152642448	0.09059647418374664	3.9319459575606514e-05	4.888246472415424e-10	0.5561928433480934	0.8001342336294116	0.21930561129606574	3.0495496975353035e-10	0.7256689529374196	0.08668542635460741	1.9920734935958554e-07
BIN2	161	Gamma	Log	False	0.9006211180124224	7.690071827284507e-162	True	9.628510230997684	-0.2636803682828238	0.45182997306505823	-0.5267091635872738	-0.10900451079285803	-4.09487269570562e-05	3.8035866324733623e-47	0.02339772321006747	0.03356160839913097	0.014150293591207336	4.204246788833017e-10	0.7631789207551358	0.02148800965830966	2.5937866994439253e-07
TMEM74B	161	Gamma	Log	False	0.9006211180124224	7.690071827284507e-162	True	1.6741903160811429	0.19277931454798256	-0.10181436770574145	-0.07658321367931875	0.10980971238479359	7.893018539190517e-05	0.013166980315554053	0.10129338557798663	0.6358560158697022	0.7243155082159793	4.930132267021707e-10	0.5658164223086535	0.012308386349696554	2.8815325697513715e-07
N('1)-acetylspermidine	161	Gamma	Log	False	0.6356275144012777	1.1586780152586215e-63	True	3.567048105076716	-0.22714476068571873	-0.14090925061250323	-0.13224779823927718	-0.09037670101435721	-4.381561118260981e-05	1.9805165329597737e-10	0.020035252037913006	0.42989325725077254	0.4631622591998267	6.925029209058208e-10	0.7009996762732196	0.1384562866309913	3.84512246832957e-07
hsa-miR-34b-3p	161	Gamma	Log	False	0.9006211180124224	7.690071827284507e-162	True	0.9312977979799713	0.25869691972668823	0.38770960731091625	-0.4119367749202944	0.09874313761628778	0.00018471881549600552	0.13245213252337004	0.016446992760889723	0.049179242978009366	0.03848698194088634	1.0410801739717805e-09	0.14263998727059674	0.009987744616345995	5.505331110455534e-07
hsa-miR-34c-5p	161	Gamma	Log	False	0.9006211180124224	7.690071827284507e-162	True	3.1823320177969574	0.2236546788205603	0.52908330755716	-0.4180556040840392	0.10623516686750757	0.0002906984656388242	3.4844279579719645e-06	0.06123702044253154	0.015406537211187517	0.0580037425888187	3.1019184584213425e-09	0.03731608081460668	0.013416477441570263	1.5657638400349547e-06
HTRA4	161	Gamma	Log	True	0.9006211180124224	7.690071827284507e-162	True	14.374314529509412	-0.6396498575697547	0.9679546167660233	-1.211163111112235	-0.1771920339400736	0.00021879073151730285	2.722025894462202e-35	0.017679491562875602	0.01678939999676006	0.009194102861602651	3.4262075565499465e-09	0.3994150090373968	0.06299943175505573	1.6542623876298764e-06
FBXL19-AS1	161	Gamma	Log	False	0.9006211180124224	7.690071827284507e-162	True	3.636529284637459	0.11038985203990048	0.16507796494429572	-0.40675015015298177	0.07067047603435972	1.5927723594387423e-05	3.538352781934759e-15	0.17027529911921502	0.2618615907444588	0.006186669859116316	4.86959909177925e-09	0.8655215037393035	0.0030692612065633673	2.2532040797586903e-06
CSHL1	161	Gamma	Log	False	0.9006211180124224	7.690071827284507e-162	True	5.6721423031571145	0.2415168610882819	0.11658594336913253	-0.3906341801278852	0.09405534476926292	-0.00012405895177760814	2.0902282214670772e-19	0.027687348943042794	0.5609037436777966	0.05367678752756922	1.0970195316446143e-08	0.33306385869160127	0.00711918099815978	4.872960759565377e-06
N-acetyl-isoputreanine	161	Gamma	Log	False	0.6719896233915076	2.5656741780241824e-72	True	2.2130520597819316	-0.155402725740502	-0.07557789310871615	0.07297361051569312	-0.0541306335980008	-7.641986906865126e-05	1.406195684035728e-09	0.01466877639944666	0.5160899160334441	0.5346578200824039	1.4613213631024587e-08	0.3043431753813184	0.061040337618584184	6.241528360481847e-06
TXK	161	Gamma	Log	False	0.9006211180124224	7.690071827284507e-162	True	3.592491823765499	0.08801591675167753	-0.08237560405067594	-0.10771206024307145	0.08303493543094767	-0.00019008683706930255	2.2311698268744412e-10	0.37227654399317933	0.6477567227515082	0.5541209637007296	2.0184373090415665e-08	0.0990992947270704	0.006032015913682631	8.30175789515059e-06
IGHG4	161	Gamma	Log	False	0.8868488597323451	1.0091073028874375e-152	True	0.13231926139735295	0.3329721405696791	-0.14903120400346734	-0.752346916713847	0.12521629842770066	4.1792611418363336e-05	0.8774824093017635	0.025965534012577427	0.5855509132738033	0.0064103230338845634	2.3856507694384572e-08	0.810942478155719	0.014501794464699236	9.46166135521931e-06
ADAMTS3	161	Gamma	Log	False	0.9006211180124224	7.690071827284507e-162	True	2.9950538868367826	0.02265672956100967	0.0929451123985078	-0.3725072899053502	0.0861322587849006	-0.00011079603609764508	4.782966922341327e-07	0.8269488492002208	0.6236458176898909	0.05147769662126122	3.032145330570511e-08	0.3601804347509985	0.005629983745744194	1.1611025481374317e-05
hsa-miR-34b-5p	161	Gamma	Log	False	0.9006211180124224	7.690071827284507e-162	True	1.6556364898014917	0.24211136242497763	0.4392015950385833	-0.3830530393864624	0.10179992114779607	0.00021876691868633974	0.01940014737829563	0.04973317262233245	0.051463566092499774	0.09255063749830937	3.811852285568666e-08	0.12912821715829054	0.011497939960867676	1.4110206543746679e-05
hsa-miR-520c-3p	161	Gamma	Log	False	0.9006211180124224	7.690071827284507e-162	True	4.400552306291127	0.14794817663588847	0.22716896539285633	-0.3226466208106724	0.07253309668674082	0.00010168128374238772	3.3202958515008793e-18	0.09317107969294641	0.15840487423107907	0.04727977169488093	4.105233760061892e-08	0.3233517496798747	0.0036699498482986037	1.4706006743705584e-05
