CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
35,400,42370,166164,Amino Acid,Glutamate Metabolism,62,NAMED,DWAKNKKXGALPNW-REWHXWOFAV,OC(C1CCC=N1)=O,S-1-pyrroline-5-carboxylate,S-1-pyrroline-5-carboxylate,2906-39-0,10140206,HMDB0001301,C04322,11966181,Pos Early
49,400,1408,155357,Amino Acid,Polyamine Metabolism,537,NAMED,KIDHWZJUCRJVML-UHFFFAOYAX,NCCCCN,putrescine,putrescine,110-60-1,13837702,HMDB0001414,C00134,1045,Pos Early
50,400,485,155305,Amino Acid,Polyamine Metabolism,545,NAMED,ATHGHQPFGPMSJY-UHFFFAOYAK,NCCCCNCCCN,spermidine,spermidine,124-20-9,1071,HMDB0001257,C00315,1102,Pos Early
55,400,27665,155829,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4317,NAMED,LDHMAVIPBRSVRG-UHFFFAOYAE,C[N+]1=CC(C([NH-])=O)=CC=C1,1-methylnicotinamide,1-methylnicotinamide,1005-24-9,8305504,HMDB0000699,C02918,457,Pos Early
72,209,37467,127687,Nucleotide,"Purine Metabolism, Adenine containing",4144,NAMED,KMYWVDDIPVNLME-UHFFFAOYAI,NC1=NC=NC2=C1N=CN2C3OC(C4OP(O)(OC34)=O)CO,"adenosine-2',3'-cyclic monophosphate","adenosine-2',3'-cyclic monophosphate",37063-35-7,1947,HMDB0011616,C02353,2024,Neg
73,209,37465,127685,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4251,NAMED,NMPZCCZXCOMSDQ-UHFFFAOYAT,NC1=NC(N(C2OC(C3OP(O)(OC23)=O)CO)C=C1)=O,"cytidine 2',3'-cyclic monophosphate","cytidine 2',3'-cyclic monophosphate",15718-51-1,369711,HMDB0011691,C02354,23421172,Neg
74,209,37139,127659,Nucleotide,"Purine Metabolism, Guanine containing",4181,NAMED,UASRYODFRYWBRC-UHFFFAOYAT,NC1=NC2=C(C(N1)=O)N=CN2C3OC(C4OP(O)(OC34)=O)CO,"guanosine-2',3'-cyclic monophosphate","guanosine-2',3'-cyclic monophosphate",15718-49-7,369712,HMDB0011629,C06194,92823,Neg
75,305,37137,145856,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4219,NAMED,HWDMHJDYMFRXOX-UHFFFAOYAA,OCC1OC(N2C=CC(NC2=O)=O)C3OP(O)(OC13)=O,"uridine-2',3'-cyclic monophosphate","uridine-2',3'-cyclic monophosphate",40632-52-8,3824355,HMDB0011640,C02355,439715,Polar
93,305,528,146398,Energy,TCA Cycle,1446,NAMED,KPGXRSRHYNQIFN-UHFFFAOYAN,O=C(C(O)=O)CCC(O)=O,alpha-ketoglutarate,alpha-ketoglutarate,"328-50-7,22202-68-2,305-72-6",50,HMDB0000208,C00026,51,Polar
98,209,1417,124553,Amino Acid,Tryptophan Metabolism,272,NAMED,HCZHHEIFKROPDY-UHFFFAOYAN,OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1,kynurenate,kynurenate,492-27-3,3712,HMDB0000715,C01717,3845,Neg
