PARENT_SAMPLE_NAME,CLIENT_IDENTIFIER,NEG,POLAR,POS EARLY,POS LATE,BOX_NUMBER,CLIENT_SAMPLE_NUMBER,COMMENTS,MASS_EXTRACTED
UPIT-05407,MJ-0015,191755,191759,191751,191747,Green box,2,Sadovsky lab,20
UPIT-05408,MJ-0025,191755,191759,191751,191747,Green box,3,Sadovsky lab,20
UPIT-05409,MJ-0034,191755,191759,191751,191747,Green box,4,Sadovsky lab,20
UPIT-05410,MJ-0043,191755,191759,191751,191747,Green box,5,Sadovsky lab,20
UPIT-05411,MJ-0053,191755,191759,191751,191747,Green box,6,Sadovsky lab,20
UPIT-05412,MJ-0062,191755,191759,191751,191747,Green box,7,Sadovsky lab,20
UPIT-05413,MJ-0107,191755,191759,191751,191747,Green box,8,Sadovsky lab,20
UPIT-05414,MJ-0200,191755,191759,191751,191747,Green box,9,Sadovsky lab,20
UPIT-05415,MJ-0286,191755,191759,191751,191747,Green box,10,Sadovsky lab,20
UPIT-05416,MJ-0359,191755,191759,191751,191747,Green box,11,Sadovsky lab,20
UPIT-05417,MJ-0376,191755,191759,191751,191747,Green box,12,Sadovsky lab,20
UPIT-05418,MJ-0385,191755,191759,191751,191747,Green box,13,Sadovsky lab,20
UPIT-05419,MJ-0386,191755,191759,191751,191747,Green box,14,Sadovsky lab,20
UPIT-05420,MJ-0433,191755,191759,191751,191747,Green box,15,Sadovsky lab,20
UPIT-05421,MJ-0463,191755,191759,191751,191747,Green box,16,Sadovsky lab,20
UPIT-05422,MJ-0505,191755,191759,191751,191747,Green box,17,Sadovsky lab,20
UPIT-05423,MJ-0510,191755,191759,191751,191747,Green box,18,Sadovsky lab,20
UPIT-05424,MJ-0531,191755,191759,191751,191747,Green box,19,Sadovsky lab,20
UPIT-05425,MJ-0554,191755,191759,191751,191747,Green box,20,Sadovsky lab,20
UPIT-05426,MJ-0562,191755,191759,191751,191747,Green box,21,Sadovsky lab,20
UPIT-05427,MJ-0581,191755,191759,191751,191747,Green box,22,Sadovsky lab,20
UPIT-05428,MJ-0607,191755,191759,191751,191747,Green box,23,Sadovsky lab,20
UPIT-05429,MJ-0611,191755,191759,191751,191747,Green box,24,Sadovsky lab,20
UPIT-05430,MJ-0687,191755,191759,191751,191747,Green box,25,Sadovsky lab,20
UPIT-05431,MJ-0715,191755,191759,191751,191747,Green box,26,Sadovsky lab,20
UPIT-05432,MJ-0781,191755,191759,191751,191747,Green box,27,Sadovsky lab,20
UPIT-05433,MJ-0788,191755,191759,191751,191747,Green box,28,Sadovsky lab,20
UPIT-05434,MJ-0811,191755,191759,191751,191747,Green box,29,Sadovsky lab,20
UPIT-05435,MJ-0868,191755,191759,191751,191747,Green box,30,Sadovsky lab,20
UPIT-05436,MJ-0881,191755,191759,191751,191747,Green box,31,Sadovsky lab,20
UPIT-05437,MJ-1001,191755,191759,191751,191747,Green box,32,Sadovsky lab,20
UPIT-05438,MJ-1014,191755,191759,191751,191747,Green box,33,Sadovsky lab,20
UPIT-05439,MJ-1050,191755,191759,191751,191747,Green box,34,Sadovsky lab,20
UPIT-05440,KH-1100,191755,191759,191751,191747,Pink Box,35,Sadovsky lab,20
UPIT-05441,KH-1103,191755,191759,191751,191747,Pink Box,36,Sadovsky lab,20
UPIT-05442,KH-1132,191755,191759,191751,191747,Pink Box,37,Sadovsky lab,20
UPIT-05443,KH-1149,191755,191759,191751,191747,Pink Box,38,Sadovsky lab,20
UPIT-05444,MJ-0045,191755,191759,191751,191747,Pink Box,39,Sadovsky lab,20
UPIT-05446,MJ-0086,191755,191759,191751,191747,Pink Box,41,Sadovsky lab,20
UPIT-05447,MJ-0088,191755,191759,191751,191747,Pink Box,42,Sadovsky lab,20
UPIT-05448,MJ-0093,191755,191759,191751,191747,Pink Box,43,Sadovsky lab,20
UPIT-05449,MJ-0128,191755,191759,191751,191747,Pink Box,44,Sadovsky lab,20
UPIT-05450,MJ-0287,191755,191759,191751,191747,Pink Box,45,Sadovsky lab,20
UPIT-05451,MJ-0295,191755,191759,191751,191747,Pink Box,46,Sadovsky lab,20
UPIT-05452,MJ-0296,191755,191759,191751,191747,Pink Box,47,Sadovsky lab,17.14285714
UPIT-05453,MJ-0300,191755,191759,191751,191747,Pink Box,48,Sadovsky lab,20
UPIT-05454,MJ-0311,191755,191759,191751,191747,Pink Box,49,Sadovsky lab,20
UPIT-05455,MJ-0323-1,191755,191759,191751,191747,Pink Box,50,Sadovsky lab,20
UPIT-05456,MJ-0328,191755,191759,191751,191747,Pink Box,51,Sadovsky lab,20
UPIT-05457,MJ-0357,191755,191759,191751,191747,Pink Box,52,Sadovsky lab,20
UPIT-05458,MJ-0363,191755,191759,191751,191747,Pink Box,53,Sadovsky lab,20
UPIT-05459,MJ-0404,191755,191759,191751,191747,Pink Box,54,Sadovsky lab,20
UPIT-05460,MJ-0412,191755,191759,191751,191747,Pink Box,55,Sadovsky lab,20
UPIT-05461,MJ-0421,191755,191759,191751,191747,Pink Box,56,Sadovsky lab,20
UPIT-05462,MJ-0435,191755,191759,191751,191747,Pink Box,57,Sadovsky lab,20
UPIT-05463,MJ-0472,191755,191759,191751,191747,Pink Box,58,Sadovsky lab,20
UPIT-05464,MJ-0500,191755,191759,191751,191747,Pink Box,59,Sadovsky lab,20
UPIT-05465,MJ-0504,191755,191759,191751,191747,Pink Box,60,Sadovsky lab,20
UPIT-05466,MJ-0515,191755,191759,191751,191747,Pink Box,61,Sadovsky lab,20
UPIT-05467,MJ-0535,191755,191759,191751,191747,Pink Box,62,Sadovsky lab,20
